,checking account status,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,employment,Installment,status n sex,Other debtors / guarantors,residence,Property,Age in years,Other installment plans,Housing,existing credits no.,Job,liability responsibles,Telephone,foreign worker,Category
14,less_than_0_DM,15,existing_credits_paid_duly,car_new,1403,less_than_100_DM,1_to_4_years,2,female_divorced_separated_married,none,4,car_other,28,none,rent,1,skilled_employee,1,none,yes,0
15,less_than_0_DM,24,existing_credits_paid_duly,radio_tv,1282,100_to_500_DM,1_to_4_years,4,female_divorced_separated_married,none,2,car_other,32,none,own,1,unskilled_resident,1,none,yes,1
16,no_checking_account,24,critical_account,radio_tv,2424,unknown_no_savings,greater_than_7_years,4,male_single,none,4,savings_insurance,53,none,own,2,skilled_employee,1,none,yes,0
17,less_than_0_DM,30,no_credits_taken,business,8072,unknown_no_savings,less_than_1_year,2,male_single,none,3,car_other,25,bank,own,3,skilled_employee,1,none,yes,0
18,0_to_200_DM,24,existing_credits_paid_duly,car_used,12579,less_than_100_DM,greater_than_7_years,4,female_divorced_separated_married,none,2,unknown_no_property,44,none,for_free,1,management_self_employed,1,yes_registered,yes,1
19,no_checking_account,24,existing_credits_paid_duly,radio_tv,3430,500_to_1000_DM,greater_than_7_years,3,male_single,none,2,car_other,31,none,own,1,skilled_employee,2,yes_registered,yes,0
20,no_checking_account,9,critical_account,car_new,2134,less_than_100_DM,1_to_4_years,4,male_single,none,4,car_other,48,none,own,3,skilled_employee,1,yes_registered,yes,0
21,less_than_0_DM,6,existing_credits_paid_duly,radio_tv,2647,500_to_1000_DM,1_to_4_years,2,male_single,none,3,real_estate,44,none,rent,1,skilled_employee,2,none,yes,0
22,less_than_0_DM,10,critical_account,car_new,2241,less_than_100_DM,less_than_1_year,1,male_single,none,3,real_estate,48,none,rent,2,unskilled_resident,2,none,no,0
23,0_to_200_DM,12,critical_account,car_used,1804,100_to_500_DM,less_than_1_year,3,male_single,none,4,savings_insurance,44,none,own,1,skilled_employee,1,none,yes,0
24,no_checking_account,10,critical_account,furniture,2069,unknown_no_savings,1_to_4_years,2,male_married_widowed,none,1,car_other,26,none,own,2,skilled_employee,1,none,no,0
25,less_than_0_DM,6,existing_credits_paid_duly,furniture,1374,less_than_100_DM,1_to_4_years,1,male_single,none,2,real_estate,36,bank,own,1,unskilled_resident,1,yes_registered,yes,0
26,no_checking_account,6,no_credits_taken,radio_tv,426,less_than_100_DM,greater_than_7_years,4,male_married_widowed,none,4,car_other,39,none,own,1,unskilled_resident,1,none,yes,0
27,greater_than_200_DM,12,all_credits_paid_duly,radio_tv,409,greater_than_1000_DM,1_to_4_years,3,female_divorced_separated_married,none,3,real_estate,42,none,rent,2,skilled_employee,1,none,yes,0
28,0_to_200_DM,7,existing_credits_paid_duly,radio_tv,2415,less_than_100_DM,1_to_4_years,3,male_single,guarantor,2,real_estate,34,none,own,1,skilled_employee,1,none,yes,0
29,less_than_0_DM,60,delay_in_paying,business,6836,less_than_100_DM,greater_than_7_years,3,male_single,none,4,unknown_no_property,63,none,own,2,skilled_employee,1,yes_registered,yes,1
30,0_to_200_DM,18,existing_credits_paid_duly,business,1913,greater_than_1000_DM,less_than_1_year,3,male_married_widowed,none,3,real_estate,36,bank,own,1,skilled_employee,1,yes_registered,yes,0
31,less_than_0_DM,24,existing_credits_paid_duly,furniture,4020,less_than_100_DM,1_to_4_years,2,male_single,none,2,car_other,27,stores,own,1,skilled_employee,1,none,yes,0
32,0_to_200_DM,18,existing_credits_paid_duly,car_new,5866,100_to_500_DM,1_to_4_years,2,male_single,none,2,car_other,30,none,own,2,skilled_employee,1,yes_registered,yes,0
33,no_checking_account,12,critical_account,business,1264,unknown_no_savings,greater_than_7_years,4,male_single,none,4,unknown_no_property,57,none,rent,1,unskilled_resident,1,none,yes,0
34,greater_than_200_DM,12,existing_credits_paid_duly,furniture,1474,less_than_100_DM,less_than_1_year,4,female_divorced_separated_married,none,1,savings_insurance,33,bank,own,1,management_self_employed,1,yes_registered,yes,0
35,0_to_200_DM,45,critical_account,radio_tv,4746,less_than_100_DM,less_than_1_year,4,male_single,none,2,savings_insurance,25,none,own,2,unskilled_resident,1,none,yes,1
36,no_checking_account,48,critical_account,education,6110,less_than_100_DM,1_to_4_years,1,male_single,none,3,unknown_no_property,31,bank,for_free,1,skilled_employee,1,yes_registered,yes,0
37,greater_than_200_DM,18,existing_credits_paid_duly,radio_tv,2100,less_than_100_DM,1_to_4_years,4,male_single,co_applicant,2,real_estate,37,stores,own,1,skilled_employee,1,none,yes,1
38,greater_than_200_DM,10,existing_credits_paid_duly,domestic_appliances,1225,less_than_100_DM,1_to_4_years,2,male_single,none,2,car_other,37,none,own,1,skilled_employee,1,yes_registered,yes,0
39,0_to_200_DM,9,existing_credits_paid_duly,radio_tv,458,less_than_100_DM,1_to_4_years,4,male_single,none,3,real_estate,24,none,own,1,skilled_employee,1,none,yes,0
40,no_checking_account,30,existing_credits_paid_duly,radio_tv,2333,500_to_1000_DM,greater_than_7_years,4,male_single,none,2,car_other,30,bank,own,1,management_self_employed,1,none,yes,0
41,0_to_200_DM,12,existing_credits_paid_duly,radio_tv,1158,500_to_1000_DM,1_to_4_years,3,male_divorced_separated,none,1,car_other,26,none,own,1,skilled_employee,1,yes_registered,yes,0
42,0_to_200_DM,18,delay_in_paying,repairs,6204,less_than_100_DM,1_to_4_years,2,male_single,none,4,real_estate,44,none,own,1,unskilled_resident,2,yes_registered,yes,0
43,less_than_0_DM,30,critical_account,car_used,6187,100_to_500_DM,4_to_7_years,1,male_married_widowed,none,4,car_other,24,none,rent,2,skilled_employee,1,none,yes,0
44,less_than_0_DM,48,critical_account,car_used,6143,less_than_100_DM,greater_than_7_years,4,female_divorced_separated_married,none,4,unknown_no_property,58,stores,for_free,2,unskilled_resident,1,none,yes,1
45,no_checking_account,11,critical_account,car_new,1393,less_than_100_DM,less_than_1_year,4,female_divorced_separated_married,none,4,car_other,35,none,own,2,management_self_employed,1,none,yes,0
46,no_checking_account,36,existing_credits_paid_duly,radio_tv,2299,500_to_1000_DM,greater_than_7_years,4,male_single,none,4,car_other,39,none,own,1,skilled_employee,1,none,yes,0
47,less_than_0_DM,6,existing_credits_paid_duly,car_used,1352,500_to_1000_DM,unemployed,1,female_divorced_separated_married,none,2,savings_insurance,23,none,rent,1,unemployed_unskilled_non_resident,1,yes_registered,yes,0
48,no_checking_account,11,critical_account,car_new,7228,less_than_100_DM,1_to_4_years,1,male_single,none,4,savings_insurance,39,none,own,2,unskilled_resident,1,none,yes,0
49,no_checking_account,12,existing_credits_paid_duly,radio_tv,2073,100_to_500_DM,1_to_4_years,4,female_divorced_separated_married,co_applicant,2,real_estate,28,none,own,1,skilled_employee,1,none,yes,0
50,0_to_200_DM,24,delay_in_paying,furniture,2333,unknown_no_savings,less_than_1_year,4,male_single,none,2,savings_insurance,29,bank,own,1,unskilled_resident,1,none,yes,0
51,0_to_200_DM,27,delay_in_paying,car_used,5965,less_than_100_DM,greater_than_7_years,1,male_single,none,2,car_other,30,none,own,2,management_self_employed,1,yes_registered,yes,0
52,no_checking_account,12,existing_credits_paid_duly,radio_tv,1262,less_than_100_DM,1_to_4_years,3,male_single,none,2,car_other,25,none,own,1,skilled_employee,1,none,yes,0
53,no_checking_account,18,existing_credits_paid_duly,car_used,3378,unknown_no_savings,1_to_4_years,2,male_single,none,1,savings_insurance,31,none,own,1,skilled_employee,1,yes_registered,yes,0
54,0_to_200_DM,36,delay_in_paying,car_new,2225,less_than_100_DM,greater_than_7_years,4,male_single,none,4,unknown_no_property,57,bank,for_free,2,skilled_employee,1,yes_registered,yes,1
55,no_checking_account,6,all_credits_paid_duly,car_new,783,unknown_no_savings,1_to_4_years,1,male_single,guarantor,2,real_estate,26,stores,own,1,unskilled_resident,2,none,yes,0
56,0_to_200_DM,12,existing_credits_paid_duly,radio_tv,6468,unknown_no_savings,unemployed,2,male_single,none,1,unknown_no_property,52,none,own,1,management_self_employed,1,yes_registered,yes,1
57,no_checking_account,36,critical_account,radio_tv,9566,less_than_100_DM,1_to_4_years,2,female_divorced_separated_married,none,2,car_other,31,stores,own,2,skilled_employee,1,none,yes,0
58,greater_than_200_DM,18,existing_credits_paid_duly,car_new,1961,less_than_100_DM,greater_than_7_years,3,female_divorced_separated_married,none,2,car_other,23,none,own,1,management_self_employed,1,none,yes,0
59,less_than_0_DM,36,critical_account,furniture,6229,less_than_100_DM,less_than_1_year,4,female_divorced_separated_married,co_applicant,4,unknown_no_property,23,none,rent,2,unskilled_resident,1,yes_registered,yes,1
60,0_to_200_DM,9,existing_credits_paid_duly,business,1391,less_than_100_DM,1_to_4_years,2,male_married_widowed,none,1,real_estate,27,bank,own,1,skilled_employee,1,yes_registered,yes,0
61,0_to_200_DM,15,critical_account,radio_tv,1537,unknown_no_savings,greater_than_7_years,4,male_single,guarantor,4,real_estate,50,none,own,2,skilled_employee,1,yes_registered,yes,0
62,0_to_200_DM,36,no_credits_taken,business,1953,less_than_100_DM,greater_than_7_years,4,male_single,none,4,unknown_no_property,61,none,for_free,1,management_self_employed,1,yes_registered,yes,1
63,0_to_200_DM,48,no_credits_taken,business,14421,less_than_100_DM,1_to_4_years,2,male_single,none,2,car_other,25,none,own,1,skilled_employee,1,yes_registered,yes,1
64,no_checking_account,24,existing_credits_paid_duly,radio_tv,3181,less_than_100_DM,less_than_1_year,4,female_divorced_separated_married,none,4,savings_insurance,26,none,own,1,skilled_employee,1,yes_registered,yes,0
65,no_checking_account,27,existing_credits_paid_duly,repairs,5190,unknown_no_savings,greater_than_7_years,4,male_single,none,4,savings_insurance,48,none,own,4,skilled_employee,2,yes_registered,yes,0
66,no_checking_account,12,existing_credits_paid_duly,radio_tv,2171,less_than_100_DM,less_than_1_year,2,female_divorced_separated_married,none,2,car_other,29,bank,own,1,skilled_employee,1,none,yes,0
67,0_to_200_DM,12,existing_credits_paid_duly,car_new,1007,greater_than_1000_DM,1_to_4_years,4,male_married_widowed,none,1,real_estate,22,none,own,1,skilled_employee,1,none,yes,0
68,no_checking_account,36,existing_credits_paid_duly,education,1819,less_than_100_DM,1_to_4_years,4,male_single,none,4,unknown_no_property,37,stores,for_free,1,skilled_employee,1,yes_registered,yes,1
69,no_checking_account,36,existing_credits_paid_duly,radio_tv,2394,unknown_no_savings,1_to_4_years,4,female_divorced_separated_married,none,4,car_other,25,none,own,1,skilled_employee,1,none,yes,0
70,no_checking_account,36,existing_credits_paid_duly,car_used,8133,less_than_100_DM,1_to_4_years,1,female_divorced_separated_married,none,2,savings_insurance,30,bank,own,1,skilled_employee,1,none,yes,0
71,no_checking_account,7,critical_account,radio_tv,730,unknown_no_savings,greater_than_7_years,4,male_single,none,2,savings_insurance,46,none,rent,2,unskilled_resident,1,yes_registered,yes,0
72,less_than_0_DM,8,critical_account,others,1164,less_than_100_DM,greater_than_7_years,3,male_single,none,4,unknown_no_property,51,bank,for_free,2,management_self_employed,2,yes_registered,yes,0
73,0_to_200_DM,42,critical_account,business,5954,less_than_100_DM,4_to_7_years,2,female_divorced_separated_married,none,1,real_estate,41,bank,own,2,unskilled_resident,1,none,yes,0
74,less_than_0_DM,36,existing_credits_paid_duly,education,1977,unknown_no_savings,greater_than_7_years,4,male_single,none,4,unknown_no_property,40,none,own,1,management_self_employed,1,yes_registered,yes,1
75,less_than_0_DM,12,critical_account,car_used,1526,less_than_100_DM,greater_than_7_years,4,male_single,none,4,unknown_no_property,66,none,for_free,2,management_self_employed,1,none,yes,0
76,less_than_0_DM,42,existing_credits_paid_duly,radio_tv,3965,less_than_100_DM,less_than_1_year,4,male_single,none,3,car_other,34,none,own,1,skilled_employee,1,none,yes,1
77,0_to_200_DM,11,delay_in_paying,radio_tv,4771,less_than_100_DM,4_to_7_years,2,male_single,none,4,savings_insurance,51,none,own,1,skilled_employee,1,none,yes,0
78,no_checking_account,54,no_credits_taken,car_used,9436,unknown_no_savings,1_to_4_years,2,male_single,none,2,savings_insurance,39,none,own,1,unskilled_resident,2,none,yes,0
79,0_to_200_DM,30,existing_credits_paid_duly,furniture,3832,less_than_100_DM,less_than_1_year,2,male_married_widowed,none,1,savings_insurance,22,none,own,1,skilled_employee,1,none,yes,0
80,no_checking_account,24,existing_credits_paid_duly,radio_tv,5943,unknown_no_savings,less_than_1_year,1,female_divorced_separated_married,none,1,car_other,44,none,own,2,skilled_employee,1,yes_registered,yes,1
81,no_checking_account,15,existing_credits_paid_duly,radio_tv,1213,500_to_1000_DM,greater_than_7_years,4,male_single,none,3,savings_insurance,47,stores,own,1,skilled_employee,1,yes_registered,yes,0
82,no_checking_account,18,existing_credits_paid_duly,business,1568,100_to_500_DM,1_to_4_years,3,female_divorced_separated_married,none,4,savings_insurance,24,none,rent,1,unskilled_resident,1,none,yes,0
83,less_than_0_DM,24,existing_credits_paid_duly,others,1755,less_than_100_DM,greater_than_7_years,4,female_divorced_separated_married,guarantor,4,real_estate,58,none,own,1,unskilled_resident,1,yes_registered,yes,0
84,less_than_0_DM,10,existing_credits_paid_duly,radio_tv,2315,less_than_100_DM,greater_than_7_years,3,male_single,none,4,real_estate,52,none,own,1,unskilled_resident,1,none,yes,0
85,no_checking_account,12,critical_account,business,1412,less_than_100_DM,1_to_4_years,4,female_divorced_separated_married,guarantor,2,real_estate,29,none,own,2,management_self_employed,1,yes_registered,yes,0
86,0_to_200_DM,18,critical_account,furniture,1295,less_than_100_DM,less_than_1_year,4,female_divorced_separated_married,none,1,savings_insurance,27,none,own,2,skilled_employee,1,none,yes,0
87,0_to_200_DM,36,existing_credits_paid_duly,education,12612,100_to_500_DM,1_to_4_years,1,male_single,none,4,unknown_no_property,47,none,for_free,1,skilled_employee,2,yes_registered,yes,1
88,less_than_0_DM,18,existing_credits_paid_duly,car_new,2249,100_to_500_DM,4_to_7_years,4,male_single,none,3,car_other,30,none,own,1,management_self_employed,2,yes_registered,yes,0
89,less_than_0_DM,12,no_credits_taken,repairs,1108,less_than_100_DM,4_to_7_years,4,male_single,none,3,real_estate,28,none,own,2,skilled_employee,1,none,yes,1
90,no_checking_account,12,critical_account,radio_tv,618,less_than_100_DM,greater_than_7_years,4,male_single,none,4,real_estate,56,none,own,1,skilled_employee,1,none,yes,0
91,less_than_0_DM,12,critical_account,car_used,1409,less_than_100_DM,greater_than_7_years,4,male_single,none,3,real_estate,54,none,own,1,skilled_employee,1,none,yes,0
92,no_checking_account,12,critical_account,radio_tv,797,unknown_no_savings,greater_than_7_years,4,female_divorced_separated_married,none,3,savings_insurance,33,bank,own,1,unskilled_resident,2,none,yes,1
93,greater_than_200_DM,24,critical_account,furniture,3617,unknown_no_savings,greater_than_7_years,4,male_single,co_applicant,4,unknown_no_property,20,none,rent,2,skilled_employee,1,none,yes,0
94,0_to_200_DM,12,existing_credits_paid_duly,car_new,1318,greater_than_1000_DM,greater_than_7_years,4,male_single,none,4,real_estate,54,none,own,1,skilled_employee,1,yes_registered,yes,0
95,0_to_200_DM,54,no_credits_taken,business,15945,less_than_100_DM,less_than_1_year,3,male_single,none,4,unknown_no_property,58,none,rent,1,skilled_employee,1,yes_registered,yes,1
96,no_checking_account,12,critical_account,education,2012,unknown_no_savings,4_to_7_years,4,female_divorced_separated_married,none,2,car_other,61,none,own,1,skilled_employee,1,none,yes,0
97,0_to_200_DM,18,existing_credits_paid_duly,business,2622,100_to_500_DM,1_to_4_years,4,male_single,none,4,car_other,34,none,own,1,skilled_employee,1,none,yes,0
98,0_to_200_DM,36,critical_account,radio_tv,2337,less_than_100_DM,greater_than_7_years,4,male_single,none,4,real_estate,36,none,own,1,skilled_employee,1,none,yes,0
99,0_to_200_DM,20,delay_in_paying,car_used,7057,unknown_no_savings,4_to_7_years,3,male_single,none,4,savings_insurance,36,bank,rent,2,management_self_employed,2,yes_registered,yes,0
100,no_checking_account,24,existing_credits_paid_duly,car_new,1469,100_to_500_DM,greater_than_7_years,4,male_married_widowed,none,4,real_estate,41,none,rent,1,unskilled_resident,1,none,yes,0
101,0_to_200_DM,36,existing_credits_paid_duly,radio_tv,2323,less_than_100_DM,4_to_7_years,4,male_single,none,4,car_other,24,none,rent,1,skilled_employee,1,none,yes,0
102,no_checking_account,6,delay_in_paying,radio_tv,932,less_than_100_DM,1_to_4_years,3,female_divorced_separated_married,none,2,real_estate,24,none,own,1,skilled_employee,1,none,yes,0
103,0_to_200_DM,9,critical_account,furniture,1919,less_than_100_DM,4_to_7_years,4,male_single,none,3,car_other,35,none,rent,1,skilled_employee,1,yes_registered,yes,0
104,no_checking_account,12,existing_credits_paid_duly,car_used,2445,unknown_no_savings,less_than_1_year,2,male_married_widowed,none,4,car_other,26,none,rent,1,skilled_employee,1,yes_registered,yes,0
105,0_to_200_DM,24,critical_account,others,11938,less_than_100_DM,1_to_4_years,2,male_single,co_applicant,3,car_other,39,none,own,2,management_self_employed,2,yes_registered,yes,1
106,no_checking_account,18,all_credits_paid_duly,car_new,6458,less_than_100_DM,greater_than_7_years,2,male_single,none,4,unknown_no_property,39,bank,own,2,management_self_employed,2,yes_registered,yes,1
107,0_to_200_DM,12,existing_credits_paid_duly,car_new,6078,less_than_100_DM,4_to_7_years,2,male_single,none,2,car_other,32,none,own,1,skilled_employee,1,none,yes,0
108,less_than_0_DM,24,existing_credits_paid_duly,furniture,7721,unknown_no_savings,less_than_1_year,1,female_divorced_separated_married,none,2,savings_insurance,30,none,own,1,skilled_employee,1,yes_registered,no,0
109,0_to_200_DM,14,existing_credits_paid_duly,business,1410,500_to_1000_DM,greater_than_7_years,1,male_married_widowed,none,2,real_estate,35,none,own,1,skilled_employee,1,yes_registered,yes,0
110,0_to_200_DM,6,delay_in_paying,business,1449,100_to_500_DM,greater_than_7_years,1,male_divorced_separated,none,2,car_other,31,bank,own,2,skilled_employee,2,none,yes,0
111,greater_than_200_DM,15,existing_credits_paid_duly,education,392,less_than_100_DM,less_than_1_year,4,female_divorced_separated_married,none,4,savings_insurance,23,none,rent,1,skilled_employee,1,yes_registered,yes,0
112,0_to_200_DM,18,existing_credits_paid_duly,car_new,6260,less_than_100_DM,4_to_7_years,3,male_single,none,3,real_estate,28,none,rent,1,unskilled_resident,1,none,yes,0
113,no_checking_account,36,critical_account,car_new,7855,less_than_100_DM,1_to_4_years,4,female_divorced_separated_married,none,2,real_estate,25,stores,own,2,skilled_employee,1,yes_registered,yes,1
114,less_than_0_DM,12,existing_credits_paid_duly,radio_tv,1680,500_to_1000_DM,greater_than_7_years,3,male_married_widowed,none,1,real_estate,35,none,own,1,skilled_employee,1,none,yes,0
115,no_checking_account,48,critical_account,radio_tv,3578,unknown_no_savings,greater_than_7_years,4,male_single,none,1,real_estate,47,none,own,1,skilled_employee,1,yes_registered,yes,0
116,less_than_0_DM,42,existing_credits_paid_duly,radio_tv,7174,unknown_no_savings,4_to_7_years,4,female_divorced_separated_married,none,3,car_other,30,none,own,1,management_self_employed,1,yes_registered,yes,1
117,less_than_0_DM,10,critical_account,furniture,2132,unknown_no_savings,less_than_1_year,2,female_divorced_separated_married,co_applicant,3,real_estate,27,none,rent,2,skilled_employee,1,none,no,0
118,less_than_0_DM,33,critical_account,furniture,4281,500_to_1000_DM,1_to_4_years,1,female_divorced_separated_married,none,4,car_other,23,none,own,2,skilled_employee,1,none,yes,1
119,0_to_200_DM,12,critical_account,car_new,2366,500_to_1000_DM,4_to_7_years,3,male_divorced_separated,none,3,car_other,36,none,own,1,management_self_employed,1,yes_registered,yes,0
120,less_than_0_DM,21,existing_credits_paid_duly,radio_tv,1835,less_than_100_DM,1_to_4_years,3,female_divorced_separated_married,none,2,real_estate,25,none,own,2,skilled_employee,1,yes_registered,yes,1
121,no_checking_account,24,critical_account,car_used,3868,less_than_100_DM,greater_than_7_years,4,female_divorced_separated_married,none,2,car_other,41,none,rent,2,management_self_employed,1,yes_registered,yes,0
122,no_checking_account,12,existing_credits_paid_duly,furniture,1768,less_than_100_DM,1_to_4_years,3,male_single,none,2,real_estate,24,none,rent,1,unskilled_resident,1,none,yes,0
123,greater_than_200_DM,10,critical_account,car_new,781,less_than_100_DM,greater_than_7_years,4,male_single,none,4,unknown_no_property,63,none,for_free,2,skilled_employee,1,yes_registered,yes,0
124,0_to_200_DM,18,existing_credits_paid_duly,furniture,1924,unknown_no_savings,less_than_1_year,4,female_divorced_separated_married,none,3,real_estate,27,none,rent,1,skilled_employee,1,none,yes,1
125,less_than_0_DM,12,critical_account,car_new,2121,less_than_100_DM,1_to_4_years,4,male_single,none,2,savings_insurance,30,none,own,2,skilled_employee,1,none,yes,0
126,less_than_0_DM,12,existing_credits_paid_duly,radio_tv,701,less_than_100_DM,1_to_4_years,4,male_married_widowed,none,2,real_estate,40,none,own,1,unskilled_resident,1,none,yes,0
127,0_to_200_DM,12,existing_credits_paid_duly,repairs,639,less_than_100_DM,1_to_4_years,4,male_single,none,2,car_other,30,none,own,1,skilled_employee,1,none,yes,1
128,0_to_200_DM,12,critical_account,car_used,1860,less_than_100_DM,unemployed,4,male_single,none,2,car_other,34,none,own,2,management_self_employed,1,yes_registered,yes,0
129,less_than_0_DM,12,critical_account,car_new,3499,less_than_100_DM,1_to_4_years,3,female_divorced_separated_married,co_applicant,2,real_estate,29,none,own,2,skilled_employee,1,none,yes,1
130,0_to_200_DM,48,existing_credits_paid_duly,car_new,8487,unknown_no_savings,4_to_7_years,1,female_divorced_separated_married,none,2,car_other,24,none,own,1,skilled_employee,1,none,yes,0
131,less_than_0_DM,36,delay_in_paying,education,6887,less_than_100_DM,1_to_4_years,4,male_single,none,3,savings_insurance,29,stores,own,1,skilled_employee,1,yes_registered,yes,1
132,no_checking_account,15,existing_credits_paid_duly,furniture,2708,less_than_100_DM,less_than_1_year,2,male_single,none,3,savings_insurance,27,bank,own,2,unskilled_resident,1,none,yes,0
133,no_checking_account,18,existing_credits_paid_duly,furniture,1984,less_than_100_DM,1_to_4_years,4,male_single,none,4,unknown_no_property,47,bank,for_free,2,skilled_employee,1,none,yes,0
134,no_checking_account,60,existing_credits_paid_duly,radio_tv,10144,100_to_500_DM,4_to_7_years,2,female_divorced_separated_married,none,4,real_estate,21,none,own,1,skilled_employee,1,yes_registered,yes,0
135,no_checking_account,12,critical_account,radio_tv,1240,unknown_no_savings,greater_than_7_years,4,female_divorced_separated_married,none,2,real_estate,38,none,own,2,skilled_employee,1,yes_registered,yes,0
136,no_checking_account,27,delay_in_paying,car_used,8613,greater_than_1000_DM,1_to_4_years,2,male_single,none,2,car_other,27,none,own,2,skilled_employee,1,none,yes,0
137,0_to_200_DM,12,existing_credits_paid_duly,radio_tv,766,500_to_1000_DM,1_to_4_years,4,male_single,none,3,real_estate,66,none,own,1,unskilled_resident,1,none,yes,1
138,0_to_200_DM,15,critical_account,radio_tv,2728,unknown_no_savings,4_to_7_years,4,male_single,guarantor,2,real_estate,35,bank,own,3,skilled_employee,1,yes_registered,yes,0
139,greater_than_200_DM,12,existing_credits_paid_duly,radio_tv,1881,less_than_100_DM,1_to_4_years,2,female_divorced_separated_married,none,2,car_other,44,none,rent,1,unskilled_resident,1,yes_registered,yes,0
140,greater_than_200_DM,6,existing_credits_paid_duly,car_new,709,greater_than_1000_DM,less_than_1_year,2,male_married_widowed,none,2,real_estate,27,none,own,1,unemployed_unskilled_non_resident,1,none,no,0
141,0_to_200_DM,36,existing_credits_paid_duly,radio_tv,4795,less_than_100_DM,less_than_1_year,4,female_divorced_separated_married,none,1,unknown_no_property,30,none,own,1,management_self_employed,1,yes_registered,yes,0
142,less_than_0_DM,27,existing_credits_paid_duly,radio_tv,3416,less_than_100_DM,1_to_4_years,3,male_single,none,2,car_other,27,none,own,1,management_self_employed,1,none,yes,0
143,less_than_0_DM,18,existing_credits_paid_duly,furniture,2462,less_than_100_DM,1_to_4_years,2,male_single,none,2,car_other,22,none,own,1,skilled_employee,1,none,yes,1
144,no_checking_account,21,critical_account,furniture,2288,less_than_100_DM,less_than_1_year,4,female_divorced_separated_married,none,4,savings_insurance,23,none,own,1,skilled_employee,1,yes_registered,yes,0
145,0_to_200_DM,48,all_credits_paid_duly,business,3566,100_to_500_DM,4_to_7_years,4,male_single,none,2,car_other,30,none,own,1,skilled_employee,1,none,yes,0
146,less_than_0_DM,6,critical_account,car_new,860,less_than_100_DM,greater_than_7_years,1,female_divorced_separated_married,none,4,unknown_no_property,39,none,own,2,skilled_employee,1,yes_registered,yes,0
147,no_checking_account,12,critical_account,car_new,682,100_to_500_DM,4_to_7_years,4,female_divorced_separated_married,none,3,car_other,51,none,own,2,skilled_employee,1,yes_registered,yes,0
148,less_than_0_DM,36,critical_account,furniture,5371,less_than_100_DM,1_to_4_years,3,male_single,guarantor,2,savings_insurance,28,none,own,2,skilled_employee,1,none,yes,0
149,no_checking_account,18,critical_account,radio_tv,1582,greater_than_1000_DM,greater_than_7_years,4,male_single,none,4,car_other,46,none,own,2,skilled_employee,1,none,yes,0
